品名,最低价,平均价,最高价,规格,单位,发布日期
品名,最低价,平均价,最高价,规格,单位,发布日期, 
猪头,6.50,6.50,6.50,普通,斤,2018-04-02
猪口条,10.00,10.00,10.00,普通,斤,2018-04-02
猪耳,19.00,19.00,19.00,普通,斤,2018-04-02
猪脑,23.00,23.00,23.00,普通,斤,2018-04-02
猪肚,16.00,16.00,16.00,普通,斤,2018-04-02
猪板油,3.80,3.90,4.00,普通,斤,2018-04-02
肥膘肉,2.00,3.00,4.00,普通,斤,2018-04-02
猪腰子,14.00,14.00,14.00,普通,斤,2018-04-02
猪心,7.00,7.00,7.00,普通,斤,2018-04-02
猪肝,4.00,4.00,4.00,普通,斤,2018-04-02
猪肺(个）,2.00,2.00,2.00,普通,斤,2018-04-02
猪皮,4.00,4.50,5.00,普通,斤,2018-04-02
猪肠头,12.00,12.50,13.00,普通,斤,2018-04-02
猪肠,10.00,10.50,11.00,普通,斤,2018-04-02
整牛,25.50,25.75,26.00,普通,斤,2018-04-02
牛前腱,28.00,28.00,28.00,普通,斤,2018-04-02
牛后腱,27.00,27.00,27.00,普通,斤,2018-04-02
牛前腿,26.50,26.50,26.50,普通,斤,2018-04-02
牛后腿,27.00,27.00,27.00,普通,斤,2018-04-02
肥牛,26.50,27.25,28.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
精肥牛,29.00,30.00,31.00,普通,斤,2018-04-02
牛柳（里脊）,28.00,29.00,30.00,普通,斤,2018-04-02
精牛柳,31.00,32.00,33.00,普通,斤,2018-04-02
牛腩,26.50,26.75,27.00,普通,斤,2018-04-02
牛林,27.00,27.00,27.00,普通,斤,2018-04-02
牛腰子,5.00,5.50,6.00,普通,斤,2018-04-02
牛肚,10.00,10.50,11.00,普通,斤,2018-04-02
牛百叶,35.00,35.50,36.00,普通,斤,2018-04-02
牛心,7.00,7.00,7.00,普通,斤,2018-04-02
牛舌,20.00,20.00,20.00,普通,斤,2018-04-02
牛肝,5.00,5.00,5.00,普通,斤,2018-04-02
牛排骨,19.00,22.50,26.00,普通,斤,2018-04-02
牛板筋,16.00,20.00,24.00,普通,斤,2018-04-02
牛蹄筋,17.00,17.50,18.00,普通,斤,2018-04-02
牛鞭,30.00,30.00,30.00,普通,斤,2018-04-02
牛尾,21.00,24.50,28.00,普通,斤,2018-04-02
牛黄喉,25.00,25.00,25.00,普通,斤,2018-04-02
牛上脑,26.50,26.75,27.00,普通,斤,2018-04-02
整羊,22.30,22.65,23.00,普通,斤,2018-04-02
去骨羊前腿,29.00,29.50,30.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
去骨羊后腿,30.00,30.50,31.00,普通,斤,2018-04-02
羊腰窝,29.00,29.00,29.00,普通,斤,2018-04-02
羊肉片,29.00,29.50,30.00,普通,斤,2018-04-02
羊腰子（挂油个）,10.00,10.00,10.00,普通,斤,2018-04-02
羊蝎子,12.00,12.00,12.00,普通,斤,2018-04-02
羊蝎子（精品）,23.00,23.00,23.00,普通,斤,2018-04-02
羊排骨,23.00,23.50,24.00,普通,斤,2018-04-02
羊尾巴油,4.50,4.75,5.00,普通,斤,2018-04-02
羊蹄,9.00,9.00,9.00,普通,斤,2018-04-02
羊头,9.00,9.00,9.00,普通,斤,2018-04-02
羊肝,4.00,4.50,5.00,普通,斤,2018-04-02
羊鞭,48.00,49.00,50.00,普通,斤,2018-04-02
羊肺,4.00,4.00,4.00,普通,斤,2018-04-02
羊宝,23.00,24.00,25.00,普通,斤,2018-04-02
羊骨头,8.00,8.00,8.00,普通,斤,2018-04-02
羊腩,24.00,24.00,24.00,普通,斤,2018-04-02
羊肚,11.00,11.00,11.00,普通,斤,2018-04-02
羊里脊,29.00,29.50,30.00,普通,斤,2018-04-02
淘汰鸡（干净膛）,8.00,8.00,8.00,普通,斤,2018-04-02
淘汰鸡（净膛）,7.50,7.50,7.50,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
仔鸡（净膛）,6.50,6.65,6.80,普通,斤,2018-04-02
肉鸡,6.00,6.00,6.00,普通,斤,2018-04-02
鸡胸,6.50,6.65,6.80,普通,斤,2018-04-02
鸡翅,9.00,9.00,9.00,普通,斤,2018-04-02
鸡翅尖,6.50,6.50,6.50,普通,斤,2018-04-02
鸡翅中,20.00,20.00,20.00,普通,斤,2018-04-02
鸡腿,4.80,5.30,5.80,普通,斤,2018-04-02
冻琵琶腿,6.50,6.65,6.80,普通,斤,2018-04-02
鸡胗,12.00,12.00,12.00,普通,斤,2018-04-02
鸡爪,12.00,12.50,13.00,普通,斤,2018-04-02
鸡心,6.50,6.75,7.00,普通,斤,2018-04-02
鸡肝,2.00,2.25,2.50,普通,斤,2018-04-02
鸡脖子（带皮）,2.00,2.25,2.50,普通,斤,2018-04-02
鸡脖子（去皮）,3.00,3.25,3.50,普通,斤,2018-04-02
鸡头,2.00,2.25,2.50,普通,斤,2018-04-02
鸡架子,1.80,1.90,2.00,普通,斤,2018-04-02
鸡油,3.50,3.65,3.80,普通,斤,2018-04-02
鸡皮,3.00,3.50,4.00,普通,斤,2018-04-02
鸭肠,4.00,4.25,4.50,普通,斤,2018-04-02
鸭肝,2.20,2.35,2.50,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
鸭头,10.00,10.50,11.00,普通,斤,2018-04-02
鸭心,5.60,6.05,6.50,普通,斤,2018-04-02
鸭腿,4.00,4.50,5.00,普通,斤,2018-04-02
三黄鸡（净膛）,7.50,7.50,7.50,普通,斤,2018-04-02
白条乌鸡（净膛）,14.00,14.00,14.00,普通,斤,2018-04-02
白条北京填鸭,6.00,6.00,6.00,普通,斤,2018-04-02
白条湖鸭,10.00,12.00,14.00,普通,斤,2018-04-02
白条净膛鹅,9.00,11.00,13.00,普通,斤,2018-04-02
白条大乳鸽（只）,20.00,20.00,20.00,普通,斤,2018-04-02
白条小乳鸽（只）,15.00,15.00,15.00,普通,斤,2018-04-02
白条鹌鹑（只）,1.80,1.90,2.00,普通,斤,2018-04-02
整兔,12.50,13.25,14.00,普通,斤,2018-04-02
箱鸡蛋（箱),142.00,144.50,147.00,普通,斤,2018-04-02
箱鸡蛋,3.23,3.29,3.34,普通,斤,2018-04-02
散鸡蛋,3.50,3.50,3.50,普通,斤,2018-04-02
生鸭蛋,5.80,6.40,7.00,普通,斤,2018-04-02
熟鸭蛋,6.50,7.00,7.50,普通,斤,2018-04-02
松花蛋,7.00,7.50,8.00,普通,斤,2018-04-02
鹅蛋,11.50,12.25,13.00,普通,斤,2018-04-02
鹌鹑蛋,4.90,5.45,6.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
柴鸡蛋,3.75,6.88,10.00,普通,斤,2018-04-02
乌鸡蛋,8.00,9.00,10.00,普通,斤,2018-04-02
鸵鸟蛋（个）,130.00,140.00,150.00,普通,斤,2018-04-02
鸽子蛋（个）,2.80,2.90,3.00,普通,斤,2018-04-02
鲤鱼,4.20,4.60,5.00,<750g,斤,2018-04-02
鲤鱼,5.60,6.05,6.50,750g-1000g,斤,2018-04-02
鲤鱼,6.50,6.75,7.00,>1000g,斤,2018-04-02
草鱼,5.00,5.50,6.00,<750g,斤,2018-04-02
草鱼,6.80,7.30,7.80,750g-1000g,斤,2018-04-02
草鱼,8.50,8.50,8.50,>1000g,斤,2018-04-02
鲫鱼,4.50,4.75,5.00,100g-150g,斤,2018-04-02
鲫鱼,5.00,5.75,6.50,200g-250g,斤,2018-04-02
鲫鱼,7.00,7.25,7.50,350g-400g,斤,2018-04-02
胖头鱼,8.00,8.50,9.00,>2000g,斤,2018-04-02
胖头鱼,7.00,7.50,8.00,<2000g,斤,2018-04-02
武昌鱼,7.50,7.50,7.50,700g左右,斤,2018-04-02
鲢鱼,3.00,3.25,3.50,>1500g,斤,2018-04-02
鲢鱼,2.80,2.90,3.00,1000-1500g,斤,2018-04-02
鲶鱼,4.00,4.00,4.00,养殖,斤,2018-04-02
仿野生鲶鱼,7.00,7.00,7.00,小口,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
白鳝,40.00,40.50,41.00,活,斤,2018-04-02
黄鳝,20.00,25.00,30.00,50g-100g,斤,2018-04-02
黄鳝,30.00,32.50,35.00,100g-200g,斤,2018-04-02
罗非鱼,11.00,11.00,11.00,活,斤,2018-04-02
虹鳟鱼,16.00,16.50,17.00,活,斤,2018-04-02
黑鱼,11.00,14.00,17.00,活,斤,2018-04-02
桂鱼,38.00,38.50,39.00,中桂,斤,2018-04-02
桂鱼,40.00,40.50,41.00,标桂,斤,2018-04-02
嘎鱼,16.00,16.50,17.00,>100g,斤,2018-04-02
嘎鱼,13.00,13.50,14.00,<100g,斤,2018-04-02
淡水鲈鱼,15.00,15.50,16.00,活,斤,2018-04-02
鲟鱼,15.00,15.50,16.00,活,斤,2018-04-02
国产白鲴鱼,11.00,12.00,13.00,>250g/冻,斤,2018-04-02
国产白鲴鱼,9.00,9.50,10.00,<250g/冻,斤,2018-04-02
燕鲅,14.00,15.00,16.00,>300g/冻,斤,2018-04-02
鲐鲅,3.50,3.75,4.00,<300g/冻,斤,2018-04-02
左偏口鱼,16.00,17.50,19.00,<600g/冻,斤,2018-04-02
鳎目鱼,12.00,13.50,15.00,<500g/冻,斤,2018-04-02
八爪鱼,30.00,33.00,36.00,活,斤,2018-04-02
八爪鱼,10.00,14.00,18.00,鲜,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
多宝鱼,29.00,30.50,32.00,活,斤,2018-04-02
青石斑鱼,30.00,32.50,35.00,活,斤,2018-04-02
国产带鱼,8.00,11.00,14.00,100-200g/冻,斤,2018-04-02
国产带鱼,16.00,17.00,18.00,200-300g/冻,斤,2018-04-02
国产带鱼,18.00,18.50,19.00,300-400g/冻,斤,2018-04-02
进口带鱼,16.00,17.00,18.00,>300g/冻,斤,2018-04-02
进口带鱼,8.00,11.50,15.00,<300g/冻,斤,2018-04-02
国产黄鱼,15.00,16.50,18.00,>300g/冻,斤,2018-04-02
国产黄鱼,4.00,5.00,6.00,<300g/冻,斤,2018-04-02
国产黄鱼,17.00,17.50,18.00,>300g/鲜,斤,2018-04-02
国产黄鱼,15.00,16.00,17.00,<300g/鲜,斤,2018-04-02
进口黄鱼,15.00,16.50,18.00,<300g,斤,2018-04-02
国产平鱼,15.00,20.00,25.00,100-200g/冻,斤,2018-04-02
国产平鱼,27.00,31.00,35.00,200-300g/冻,斤,2018-04-02
国产平鱼,15.00,22.50,30.00,100-200g/鲜,斤,2018-04-02
国产平鱼,28.00,33.00,38.00,200-300g/鲜,斤,2018-04-02
国产平鱼,15.00,16.50,18.00,带头,斤,2018-04-02
国产平鱼,18.00,18.50,19.00,去头,斤,2018-04-02
进口墨鱼,22.00,26.00,30.00,1000-1500g,斤,2018-04-02
国产墨鱼,15.00,16.50,18.00,50g-100g,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
公河蟹,18.00,19.00,20.00,75g左右,斤,2018-04-02
公河蟹,25.00,32.50,40.00,150g左右,斤,2018-04-02
公河蟹,40.00,50.00,60.00,200g左右,斤,2018-04-02
母河蟹,40.00,42.50,45.00,75g左右,斤,2018-04-02
母河蟹,50.00,62.50,75.00,125g左右,斤,2018-04-02
母河蟹,80.00,87.50,95.00,150g左右,斤,2018-04-02
兰花蟹,65.00,72.50,80.00,活,斤,2018-04-02
沙母蟹,50.00,64.00,78.00,活,斤,2018-04-02
青羔蟹,60.00,70.00,80.00,中草,斤,2018-04-02
黑肉蟹,50.00,55.00,60.00,中草,斤,2018-04-02
梭子蟹,70.00,92.50,115.00,活,斤,2018-04-02
珍宝蟹,75.00,77.50,80.00,活,斤,2018-04-02
皇帝蟹,150.00,160.00,170.00,活,斤,2018-04-02
